Source_Name,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_68_PosAng,Conf_95_SemiMajor,Conf_95_SemiMinor,Conf_95_PosAng,ROI_num,Signif_Avg,Pivot_Energy,Flux_Density,Unc_Flux_Density,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,Signif_Curve,SpectrumType,Spectral_Index,Unc_Spectral_Index,beta,Unc_beta,Cutoff,Unc_Cutoff,Exp_Index,Unc_Exp_Index,PowerLaw_Index,Flux100_300,nuFnu100_300,Sqrt_TS100_300,Flux300_1000,nuFnu300_1000,Sqrt_TS300_1000,Flux1000_3000,nuFnu1000_3000,Sqrt_TS1000_3000,Flux3000_10000,nuFnu3000_10000,Sqrt_TS3000_10000,Flux10000_100000,nuFnu10000_100000,Sqrt_TS10000_100000,Variability_Index,Signif_Peak,Flux_Peak,Unc_Flux_Peak,Time_Peak,Peak_Interval,Extended_Source_Name,0FGL_Name,1FGL_Name,2FGL_Name,1FHL_Name,ASSOC_GAM1,ASSOC_GAM2,ASSOC_GAM3,TEVCAT_FLAG,ASSOC_TEV,CLASS1,ASSOC1,ASSOC2,Flags,CLASS,AGN,Blazar
3FGL J0132.1-5340,23.0448,-53.6735,289.86,-62.4086,0.091399,0.0872669,64.44,0.1482,0.1415,64.44,324,4.54087,1242.83,1.9357E-13,4.36171E-14,2.42427E-10,5.99514E-11,2.98474E-12,6.86973E-13,0.582938,PowerLaw,2.3194,0.192634,-INF,-INF,-INF,-INF,-INF,-INF,2.3194,1.16633E-09,2.71671E-13,0.455407,1.14085E-09,7.54672E-13,3.44832,2.00903E-10,4.67959E-13,3.36081,3.49523E-11,2.3121E-13,2.33171,1.02462E-11,1.61044E-13,1.59794,34.9,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,,,,0,,,
3FGL J0132.5-0802,23.1351,-8.0498,151.858,-68.5814,0.0846767,0.0704303,85.86,0.1373,0.1142,85.86,468,4.52544,4369,1.3672E-14,3.87335E-15,2.33291E-10,6.72726E-11,3.00205E-12,9.15093E-13,1.68129,PowerLaw,1.75289,0.183031,-INF,-INF,-INF,-INF,-INF,-INF,1.75289,1.17493E-12,2.8934E-16,0,9.86428E-13,6.97431E-16,0,1.57484E-10,3.87825E-13,2.121,6.45082E-11,4.5609E-13,3.46711,3.75873E-11,7.41715E-13,3.49563,32.9062,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,bcu,PKS 0130-083,,0,bcu,AGN,bcu
3FGL J0132.6-1655,23.1707,-16.9179,168.106,-76.0274,0.0254708,0.0251008,-66.18,0.0413,0.0407,-66.18,817,34.5813,496.184,1.50981E-11,5.96387E-13,1.92077E-09,1.22799E-10,2.61622E-11,1.08491E-12,2.66898,PowerLaw,2.43014,0.0360909,-INF,-INF,-INF,-INF,-INF,-INF,2.43014,3.67813E-08,8.47706E-12,15.3443,9.43044E-09,6.1601E-12,22.0973,1.68837E-09,3.89121E-12,19.3995,1.96806E-10,1.28557E-12,8.60993,5.2166E-11,7.87715E-13,5.0228,240.334,12.9457,1.5214E-07,1.74223E-08,2.61685E+08,2.63E+06,,,1FGL J0132.6-1655,2FGL J0132.8-1654,1FHL J0132.6-1651,,,,N,,fsrq,PKS 0130-17,,0,fsrq,AGN,fsrq
3FGL J0133.0-4413,23.2521,-44.2316,279.585,-70.964,0.0583424,0.0515584,-37.66,0.0946,0.0836,-37.66,480,7.74613,1457.3,1.9404E-13,3.17962E-14,3.76254E-10,6.54042E-11,4.23942E-12,7.00156E-13,0.530048,PowerLaw,2.15624,0.124827,-INF,-INF,-INF,-INF,-INF,-INF,2.15624,3.02351E-09,7.15486E-13,1.41789,1.08807E-09,7.33464E-13,3.4774,2.91048E-10,6.8874E-13,4.88511,9.07773E-11,6.11926E-13,4.89576,2.03266E-11,3.39926E-13,2.85314,48.6853,-INF,-INF,-INF,-INF,-INF,,,,2FGL J0133.4-4408,,,,,N,,bll,SUMSS J013306-441422,,0,bll,AGN,bll
3FGL J0133.2-4737,23.307,-47.6199,283.941,-67.938,0.175767,0.131055,-87.18,0.285,0.2125,-87.18,480,4.17135,504.863,1.7124E-12,3.69364E-13,1.57639E-10,5.24105E-11,3.08449E-12,6.83943E-13,0.167345,PowerLaw,2.70747,0.199812,-INF,-INF,-INF,-INF,-INF,-INF,2.70747,6.37104E-09,1.4307E-12,2.34112,9.38992E-10,5.94782E-13,2.74079,1.71427E-10,3.84962E-13,2.94897,8.74739E-12,5.54082E-14,0.82445,1.05818E-11,1.45678E-13,1.40865,33.4282,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,,,,0,,,
3FGL J0133.2-5159,23.3202,-51.9868,288.193,-63.9275,0.0828265,0.0759191,81.14,0.1343,0.1231,81.14,324,4.50709,684.416,8.34156E-13,1.75674E-13,1.89205E-10,5.2985E-11,3.29205E-12,7.39959E-13,0.721581,PowerLaw,2.62765,0.186457,-INF,-INF,-INF,-INF,-INF,-INF,2.62765,8.83987E-09,1.99982E-12,2.846,8.37773E-10,5.35318E-13,2.34563,2.09029E-10,4.72882E-13,3.46325,7.59989E-12,4.85616E-14,0.612094,1.68986E-11,2.38629E-13,2.92738,47.9471,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,bcu,PKS 0131-522,,0,bcu,AGN,bcu
3FGL J0133.3+5930,23.3364,59.5141,128.232,-2.92563,0.0663599,0.0526685,22.49,0.1076,0.0854,22.49,131,4.3485,2356.12,7.78267E-14,1.86727E-14,4.25984E-10,1.02234E-10,4.90311E-12,1.24636E-12,0.572092,PowerLaw,2.21155,0.162004,-INF,-INF,-INF,-INF,-INF,-INF,2.21155,2.46984E-09,5.81327E-13,0.429431,1.5137E-09,1.01384E-12,2.0166,2.14528E-10,5.04935E-13,1.69336,1.13161E-10,7.57926E-13,3.70917,1.07068E-11,1.75261E-13,1.96415,42.5709,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,,,,0,,,
3FGL J0133.3+4324,23.3378,43.4026,130.957,-18.8151,0.0961478,0.0785711,7.02,0.1559,0.1274,7.02,422,4.99928,1255.73,2.50222E-13,5.16301E-14,3.2408E-10,7.11321E-11,3.93549E-12,8.19273E-13,1.61695,PowerLaw,2.30102,0.141741,-INF,-INF,-INF,-INF,-INF,-INF,2.30102,2.68491E-09,6.26499E-13,0.821472,1.67351E-09,1.10937E-12,3.94279,1.95637E-10,4.565E-13,2.65785,5.58041E-11,3.69924E-13,2.82761,1.00598E-11,1.59195E-13,1.46798,52.4967,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,bcu,B3 0129+431,,0,bcu,AGN,bcu
3FGL J0134.3-3842,23.5775,-38.7051,267.882,-75.3615,0.0625978,0.0555671,-48.52,0.1015,0.0901,-48.52,824,6.91863,1052.25,3.70922E-13,6.27494E-14,3.13183E-10,6.09294E-11,3.89191E-12,6.61288E-13,0.470725,PowerLaw,2.33119,0.139373,-INF,-INF,-INF,-INF,-INF,-INF,2.33119,5.70418E-09,1.32716E-12,2.74216,9.47497E-10,6.25926E-13,2.92153,1.73771E-10,4.04302E-13,3.0652,1.0179E-10,6.72437E-13,5.47391,6.8369E-12,1.06992E-13,1.75426,61.1652,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,fsrq,PMN J0134-3843,,0,fsrq,AGN,fsrq
3FGL J0134.5+2638,23.6301,26.6376,134.735,-35.2448,0.0386071,0.0341667,66.65,0.0626,0.0554,66.65,765,11.9662,2183.86,1.78254E-13,2.10721E-14,8.43103E-10,1.00432E-10,9.44041E-12,1.16013E-12,3.03574,PowerLaw,1.99107,0.0827523,-INF,-INF,-INF,-INF,-INF,-INF,1.99107,9.03815E-10,2.17376E-13,0.232021,1.572E-09,1.08042E-12,3.41438,6.67572E-10,1.60557E-12,7.22557,2.48005E-10,1.70451E-12,8.94295,4.09594E-11,7.31705E-13,3.86003,58.0117,-INF,-INF,-INF,-INF,-INF,,,1FGL J0134.4+2632,2FGL J0134.4+2636,1FHL J0134.4+2643,,,,N,,bcu,1RXS J013427.2+263846,,0,bcu,AGN,bcu
3FGL J0135.0+6927,23.7554,69.4657,126.762,6.91873,0.0616727,0.0560605,-47.3,0.1,0.0909,-47.3,156,4.89102,864.955,9.57786E-13,1.87002E-13,4.24409E-10,9.29704E-11,6.70842E-12,1.38042E-12,1.12121,PowerLaw,2.55683,0.126985,-INF,-INF,-INF,-INF,-INF,-INF,2.55683,5.08075E-09,1.15704E-12,0.952572,3.3494E-09,2.15702E-12,4.29541,2.37667E-10,5.41236E-13,1.87006,4.86782E-11,3.13488E-13,1.86339,1.116E-11,1.61317E-13,2.13743,36.7125,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,bcu,TXS 0130+691,,8,bcu,AGN,bcu
