id,Fermi_name,Counterpart_name,Bzcat5_name,Optical_Class,RA_J2000,Dec_J2000,Redshift,SED_Class,LogSyncZ,Probability_Bayesian,Reliability_LR_RG,Reliability_LR_XG,Significance,Flux_1to100GeV,Spectral_Index,Spectral_Type,Power_Law_Index,Radio_flux),X_Flux,USNOVmag,SDSSVmag,CLEAN
495,3FGL J0733.8+5021,TXS 0730+504,5BZQJ0733+5022,fsrq,07 33 52.52,+50 22 09.06,0.72,LSP,13.296,1.0,0.94,0.0,8.98,4.3361142000000003e-10,2.5038,PowerLaw,2.5,770.1669,0.0,18.2812,0.0,Y
496,3FGL J0734.3-7709,PKS 0736-770,, bcu II,07 34 43.41,-77 11 13.48,0.0,LSP,12.515,1.0,0.88,0.0,17.21,1.3898808e-09,2.2903,PowerLaw,2.29,211.6,0.0,21.89,0.0,Y
497,3FGL J0738.1+1741,PKS 0735+17,5BZBJ0738+1742,bll,07 38 07.39,+17 42 18.99,0.424,LSP,13.984000000000002,1.0,0.98,0.93,55.35,5.4815419e-09,2.0064,PowerLaw,2.01,2258.2659,2.0899999999999998e-12,15.9798,14.88,Y
498,3FGL J0739.4+0137,PKS 0736+01,5BZQJ0739+0137,fsrq,07 39 18.03,+01 37 04.61,0.18941,ISP,14.125,1.0,0.97,0.92,38.99,2.7340228e-09,2.2454,LogParabola,2.48,1964.9073,6.36e-12,16.2255,0.0,Y
499,3FGL J0742.4-8133c,SUMSS J074220-813139,, bcu III,07 42 21.13,-81 31 36.17,0.0,-,0.0,0.99,0.0,0.0,4.52,1.3134559e-10,1.4639,PowerLaw,1.46,17.6,0.0,19.7668,0.0,Y
500,3FGL J0742.6+5444,GB6 J0742+5444,5BZUJ0742+5444,fsrq,07 42 39.79,+54 44 24.66,0.72,ISP,14.735999999999999,1.0,0.95,0.9,61.62,4.6656736e-09,2.1307,LogParabola,2.25,281.6328,9.240000000000001e-13,17.5975,0.0,Y
502,3FGL J0744.3+7434,MS 0737.9+7441,5BZBJ0744+7433,bll,07 44 05.37,+74 33 58.25,0.315,HSP,17.046,1.0,0.0,0.94,11.91,5.582057e-10,1.9692,PowerLaw,1.97,23.4149,1.3599999999999999e-11,17.0706,0.0,Y
504,3FGL J0746.6-4756,PMN J0746-4755,, bcu II,07 46 42.13,-47 54 55.1,0.0,HSP,15.3,1.0,0.86,0.0,14.61,1.2139683e-09,2.2543,PowerLaw,2.25,106.7,0.0,17.5184,0.0,Y
505,3FGL J0746.9+8511,NVSS J074715+851208,, bcu II,07 47 16.15,+85 12 08.62,0.0,HSP,16.28,1.0,0.0,0.85,9.66,3.7805709e-10,1.7873,PowerLaw,1.79,11.4078,1.18e-12,18.8626,0.0,Y
506,3FGL J0747.4+0904,RX J0747.3+0905,5BZUJ0747+0905,bll,07 47 22.19,+09 05 48.49,0.0,HSP,16.305,1.0,0.0,0.88,5.85,3.1103323e-10,2.0663,PowerLaw,2.07,40.4344,4.53e-12,17.5492,0.0,Y
507,3FGL J0748.3+2401,S3 0745+24,5BZQJ0748+2400,fsrq,07 48 36.1,+24 00 24.1,0.40985,LSP,13.119000000000002,1.0,0.93,0.84,9.36,5.8027072e-10,2.1563,PowerLaw,2.16,958.0938,3.01e-12,18.3418,18.15,Y
508,3FGL J0748.5+7910,JVAS J0750+7909,, bcu II,07 50 43.26,+79 09 17.0,0.0,LSP,12.9,0.94,0.0,0.0,4.72,2.2183901000000002e-10,2.3437,PowerLaw,2.34,181.5741,0.0,0.0,0.0,Y
509,3FGL J0748.8+4929,NVSS J074837+493040,, bcu II,07 48 37.75,+49 30 41.02,0.0,LSP,13.811,0.97,0.0,0.0,5.67,3.3374434e-10,2.3391,PowerLaw,2.34,35.4111,0.0,20.0529,19.24,Y
510,3FGL J0749.4+1059,TXS 0746+110,, bcu I,07 49 27.38,+10 57 33.12,0.214,ISP,14.349,0.99,0.82,0.0,6.04,4.0625288999999997e-10,2.2030000000000003,PowerLaw,2.2,199.0467,0.0,18.8818,17.17,Y
511,3FGL J0750.6+1232,OI 280,5BZQJ0750+1231,fsrq,07 50 52.04,+12 31 04.82,0.889,LSP,13.071,1.0,0.95,0.0,13.26,9.376917e-10,2.4112,PowerLaw,2.41,1486.9797,0.0,17.1955,17.17,Y
512,3FGL J0753.1+5353,4C +54.15,5BZBJ0753+5352,bll,07 53 01.38,+53 52 59.63,0.0,LSP,13.28,1.0,0.96,0.84,16.65,9.7193953e-10,2.1059,PowerLaw,2.11,803.8206,8.98e-13,17.365,17.22,Y
